"","kernel","approach","bandwidth","R2","R2adj","RSS","AIC","AICC"
"1","gaussian","CV",50,NA,NA,NA,NA,NA
"2","exponential","CV",50,0.938372760038485,0.642509220431634,6819.13958595662,26952.2336239971,52250.3262225102
"3","bisquare","CV",50,NA,NA,NA,NA,NA
"4","tricube","CV",50,NA,NA,NA,NA,NA
"5","boxcar","CV",50,NA,NA,NA,NA,NA
"6","gaussian","AIC",50,NA,NA,NA,NA,NA
"7","exponential","AIC",50,0.938372760038485,0.642509220431634,6819.13958595662,26952.2336239971,52250.3262225102
"8","bisquare","AIC",50,NA,NA,NA,NA,NA
"9","tricube","AIC",50,NA,NA,NA,NA,NA
"10","boxcar","AIC",50,NA,NA,NA,NA,NA
"11","gaussian","CV",100,0.796679361503561,0.641274114647145,22497.7106792204,33961.7019297413,39051.0340211163
"12","exponential","CV",100,0.785738140016852,0.617205031165409,23708.3720134831,34138.9786981007,38442.8033018612
"13","bisquare","CV",100,NA,NA,NA,NA,NA
"14","tricube","CV",100,NA,NA,NA,NA,NA
"15","boxcar","CV",100,NA,NA,NA,NA,NA
"16","gaussian","AIC",100,0.796679361503561,0.641274114647145,22497.7106792204,33961.7019297413,39051.0340211163
"17","exponential","AIC",100,0.785738140016852,0.617205031165409,23708.3720134831,34138.9786981007,38442.8033018612
"18","bisquare","AIC",100,NA,NA,NA,NA,NA
"19","tricube","AIC",100,NA,NA,NA,NA,NA
"20","boxcar","AIC",100,NA,NA,NA,NA,NA
"21","gaussian","CV",150,0.701402932333021,0.611159055110784,33040.1797265304,35819.3386478316,37700.0430701916
"22","exponential","CV",150,0.693151102071334,0.592009635545547,33953.2561912433,35955.441547097,37679.0241180176
"23","bisquare","CV",150,NA,NA,NA,NA,NA
"24","tricube","CV",150,NA,NA,NA,NA,NA
"25","boxcar","CV",150,NA,NA,NA,NA,NA
"26","gaussian","AIC",150,0.701402932333021,0.611159055110784,33040.1797265304,35819.3386478316,37700.0430701916
"27","exponential","AIC",150,0.693151102071334,0.592009635545547,33953.2561912433,35955.441547097,37679.0241180176
"28","bisquare","AIC",150,NA,NA,NA,NA,NA
"29","tricube","AIC",150,NA,NA,NA,NA,NA
"30","boxcar","AIC",150,NA,NA,NA,NA,NA
"31","gaussian","CV",200,0.648441399641564,0.590146534212383,38900.4467827021,36615.2821325535,37611.4526254231
