PABST_1,PABST_2,PABST_3,PABST_4,PABST_5,PABST_6,PABST_7,PABST_8,PABST_9,PABST_10,PABST_11,PABST_12,PABST_13,PABST_14,PABST_15,PABST_16,PABST_17,PABST_18,PABST_19,PABST_20,PABST_21,PABST_22,PABST_23,PABST_24,PABST_25,PABST_26,PABST_27,PABST_28,PABST_29,PABST_30,PABST_31,PABST_32,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,ZS,SSOCANZ1,SSOCANZ2,SSOCANZ3,SSOCANZ4,SSOCANZ5,SSOCANZ6,ISBACANZ1,ISBACANZ2,ISBACANZ3,ISBACANZ4,ISBACANZ5,ISBACANZ6,BLD_HEIGHT,TEB_T1,TEB_T2,TEB_T3,TEB_T4,TEB_T5,TEB_T6,TEB_P1,TEB_P2,TEB_P3,TEB_P4,TEB_P5,TEB_P6,ISBA_T1,ISBA_T2,ISBA_T3,ISBA_T4,ISBA_T5,ISBA_T6,ISBA_P1,ISBA_P2,ISBA_P3,ISBA_P4,ISBA_P5,ISBA_P6,longitude,latitude
101682.34149,101173.04584,100418.40293,99524.09588,98465.79774,97212.12684,95726.41591,93968.32329,91893.17292,89451.40309,86589.18258,83249.47831,79371.63274,74893.15977,69760.87846,64235.85261,58848.79454,53842.29709,49198.27325,44888.05250,40883.49457,37161.81293,33706.21530,30503.55694,27540.09607,24800.29410,22271.60567,19949.40029,17837.10586,15939.61965,14245.31971,12683.73731,297.67308,297.67308,298.48049,299.80185,302.71026,304.80630,305.82330,306.42755,306.80421,307.05784,307.46041,308.25814,308.99873,309.46848,310.04376,311.81419,315.22694,319.14451,322.25058,325.05848,327.11354,328.76618,330.40251,332.13206,333.72347,335.12290,336.92715,340.59023,347.87122,359.21015,371.19688,371.19688,36.09229,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.22336,48.92026
101675.34579,100983.93084,100228.18365,99329.27938,98264.72239,97007.57797,95521.54755,93764.73884,91691.47306,89251.93089,86391.91027,83054.42910,79178.89764,74704.20369,69579.50834,64063.50945,58689.25955,53699.30792,49069.03848,44769.37575,40774.36112,37060.96524,33612.50634,30415.54233,27456.30772,24720.40671,22196.70385,19880.72754,17775.36776,15883.48404,14193.43007,12683.65688,297.66985,297.66985,298.45307,299.79070,302.78705,304.81939,305.82388,306.43429,306.80437,307.06170,307.46158,308.25358,308.99789,309.47363,310.04199,311.80296,315.22073,319.13979,322.25647,325.07189,327.09838,328.78950,330.42150,332.14508,333.74431,335.12479,336.92992,340.58234,347.86461,359.21099,371.19868,371.19868,36.69477,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.23191,48.92026
101670.98882,100979.63785,100223.86976,99324.91621,98260.52873,97003.52893,95517.57922,93760.88682,91687.75298,89248.35302,86388.44482,83051.10282,79175.79766,74701.35137,69576.91202,64061.14044,58687.21839,53697.70792,49067.77838,44768.39756,40773.48078,37060.12773,33611.88317,30415.04660,27455.91603,24720.11772,22196.47192,19880.55067,17775.20676,15883.36205,14193.36313,12683.62493,297.66660,297.66660,298.42225,299.77956,302.86384,304.83249,305.82446,306.44102,306.80453,307.06554,307.45870,308.25262,309.00843,309.47370,310.03191,311.79254,315.22818,319.15832,322.25695,325.08530,327.08321,328.81282,330.44049,332.15810,333.76514,335.12668,336.93269,340.57444,347.85780,359.21186,371.20035,371.20035,37.06687,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.24045,48.92025
101673.99511,100982.63085,100226.73703,99327.53495,98262.95284,97005.89456,95519.84549,93763.04053,91689.95272,89250.59144,86390.49957,83052.91706,79177.52266,74702.97208,69578.28415,64062.24371,58688.22340,53698.77965,49068.79356,44769.38032,40774.28801,37060.74232,33612.40094,30415.44351,27456.21892,24720.37737,22196.65191,19880.66516,17775.25956,15883.35980,14193.32939,12683.56175,297.65458,297.65458,298.35898,299.71713,302.86837,304.85865,305.80095,306.43969,306.82007,307.07181,307.44983,308.24704,309.00846,309.47389,310.02620,311.79524,315.25049,319.17612,322.26089,325.09380,327.07241,328.83817,330.44458,332.18030,333.77960,335.12431,336.93424,340.56858,347.85533,359.21133,371.19927,371.19927,36.83815,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.24900,48.92025
101683.45613,100992.02382,100235.93168,99336.33694,98271.36340,97013.99016,95527.63341,93770.59964,91697.43738,89257.96592,86397.44430,83059.28429,79183.51219,74708.54921,69583.20460,64066.51660,58692.02949,53702.23148,49071.82926,44772.11629,40776.70641,37062.67112,33613.89793,30416.60346,27457.14370,24721.15454,22197.22910,19881.04803,17775.48415,15883.45855,14193.32753,12683.48022,297.64907,297.64907,298.26339,299.49239,302.78828,304.82188,305.77602,306.44522,306.84235,307.07841,307.43283,308.23644,309.02374,309.47254,310.01616,311.80002,315.26118,319.17743,322.26751,325.10420,327.06033,328.78433,330.42588,332.15832,333.78563,335.12769,336.93596,340.55621,347.85115,359.21276,371.19536,371.19536,36.07206,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.25754,48.92025
101695.69689,101004.22117,100248.00317,99348.10968,98282.63735,97024.79288,95538.12469,93780.79863,91707.44538,89267.81103,86406.71534,83067.82620,79191.49835,74715.88760,69589.75499,64072.29186,58697.17431,53706.81772,49075.79411,44775.62806,40779.83146,37065.18276,33615.88461,30418.20165,27458.42009,24722.18042,22197.98683,19881.55509,17775.79456,15883.60662,14193.34010,12683.39092,297.66675,297.66675,298.20659,299.41271,302.62382,304.79720,305.76300,306.44653,306.86348,307.08848,307.39266,308.22819,309.01770,309.47054,310.00904,311.80021,315.26538,319.18063,322.26225,325.12854,327.03786,328.72036,330.41887,332.14832,333.78420,335.13125,336.94052,340.55354,347.84547,359.21259,371.19277,371.19277,35.05444,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.26609,48.92024
101707.87198,101016.27461,100259.77999,99359.58495,98293.89147,97035.66600,95548.63006,93791.03785,91717.43918,89277.37479,86415.72384,83076.28967,79199.31915,74722.99357,69596.07684,64077.87582,58702.18545,53711.30515,49079.67392,44778.97523,40782.77704,37067.63386,33617.87176,30419.85304,27459.72511,24723.17359,22198.69375,19882.02166,17776.10459,15883.76564,14193.34571,12683.31096,297.66654,297.66654,298.05437,299.29395,302.52694,304.72250,305.74747,306.44034,306.86519,307.08698,307.39168,308.21715,308.99977,309.47083,309.99733,311.79931,315.27108,319.18343,322.24511,325.13849,327.04156,328.68879,330.40906,332.12735,333.74914,335.10684,336.92886,340.56091,347.84938,359.20093,371.18813,371.18813,34.06423,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.27463,48.92024
101717.77543,101025.80926,100269.14968,99368.92861,98303.15125,97044.77582,95557.49188,93799.52811,91725.42779,89284.82397,86422.78349,83082.96834,79205.43828,74728.50930,69600.98102,64082.23671,58706.12118,53714.85794,49082.77492,44781.57958,40785.04048,37069.57227,33619.49102,30421.22921,27460.81075,24723.97908,22199.24844,19882.35949,17776.33881,15883.89827,14193.33741,12683.24635,297.55781,297.55781,298.04482,299.24228,302.47054,304.69797,305.73240,306.39802,306.85212,307.07891,307.39922,308.20523,308.99093,309.46824,309.98895,311.79445,315.27001,319.18460,322.23491,325.14171,327.04059,328.67349,330.39614,332.10795,333.72304,335.09212,336.91414,340.54892,347.86139,359.18401,371.18077,371.18077,33.28417,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.28318,48.92023
101728.43123,101036.33369,100279.33930,99378.86122,98313.02473,97054.41493,95566.82869,93808.55727,91734.07342,89293.03605,86430.61162,83090.36207,79212.23744,74734.65473,69606.42849,64087.06350,58710.45309,53718.78801,49086.17472,44784.38644,40787.41161,37071.61665,33621.31135,30422.81813,27462.05982,24724.87600,22199.86802,19882.74404,17776.58577,15884.04007,14193.34007,12683.16539,297.52624,297.52624,297.90190,299.30780,302.51991,304.65194,305.72692,306.39302,306.85089,307.07866,307.40570,308.19873,308.98285,309.46778,309.98262,311.79452,315.27812,319.19976,322.22577,325.14505,327.03397,328.67779,330.41086,332.09018,333.68400,335.06924,336.90915,340.53958,347.87578,359.17600,371.17320,371.17320,32.42430,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.29172,48.92023
101737.99767,101045.61296,100288.22435,99387.27644,98321.08978,97062.26943,95574.49399,93816.01274,91741.36248,89300.11394,86437.39872,83096.69705,79217.99451,74739.82398,69611.02373,64091.15719,58714.15760,53722.18225,49089.09408,44786.76550,40789.32917,37073.32872,33622.91064,30424.23825,27463.20656,24725.68634,22200.42619,19883.08831,17776.76130,15884.13251,14193.34915,12683.10650,297.44390,297.44390,297.74410,299.17407,302.38980,304.63293,305.71341,306.39964,306.88242,307.08076,307.40369,308.18002,308.96426,309.45844,309.97851,311.80325,315.28749,319.19939,322.22098,325.12803,327.03689,328.72235,330.41967,332.09661,333.65416,335.04830,336.89832,340.52276,347.88087,359.17897,371.16598,371.16598,31.68849,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,2.30027,48.92022
